Name;Postanschrift;Hausanschrift;E-Mail;Web;Telefon;Fax
Amtsgericht Aachen;"Amtsgericht Aachen 
Postfach 10 18 26
52018 Aachen";"Amtsgericht Aachen 
Adalbertsteinweg 92
52070 Aachen";poststelle@ag-aachen.nrw.de;http://www.ag-aachen.nrw.de;(0241)94250;(0241)942580001
Amtsgericht Aalen ;"Amtsgericht Aalen 
Postfach 11 40
73401 Aalen";"Amtsgericht Aalen 
Stuttgarter Straße 9+7
73430 Aalen";Poststelle@agaalen.justiz.bwl.de;;(07361) 96510;(07361) 965111
Amtsgericht Achern;"Amtsgericht Achern
Postfach 11 27
77842 Achern";"Amtsgericht Achern
Allerheiligenstraße 5
77856 Achern";Poststelle@agachern.justiz.bwl.de;;(07841) 694213;(07841) 694270
Amtsgericht Achim ;"Amtsgericht Achim 
Postfach 1257
28818 Achim";"Amtsgericht Achim 
Obernstraße 40
28832 Achim";AGACH-poststelle@justiz.niedersachsen.de;http://www.amtsgericht-achim.niedersachsen.de;(04202)91580;(04202)915859
Amtsgericht Adelsheim ;"Amtsgericht Adelsheim 
Postfach 11 80
74737 Adelsheim";"Amtsgericht Adelsheim 
Rietstraße 4
74740 Adelsheim";Poststelle@agadelsheim.justiz.bwl.de;;(06291) 62040;(06291) 620425
Amtsgericht Ahaus ;"Amtsgericht Ahaus 
Postfach 11 61
48661 Ahaus";"Amtsgericht Ahaus 
Sümmermannplatz 1-3, 5
48683 Ahaus";poststelle@ag-ahaus.nrw.de;http://www.ag-ahaus.nrw.de;(02561)4270;(02561)427311
Amtsgericht Ahlen ;"Amtsgericht Ahlen 
Postfach 11 52 u. 11 53
59201 Ahlen";"Amtsgericht Ahlen 
Gerichtstraße 12
59227 Ahlen";poststelle@ag-ahlen.nrw.de;http://www.ag-ahlen.nrw.de;(02382)9510;(02382)951188
Amtsgericht Ahrensburg ;Amtsgericht Ahrensburg ;"Amtsgericht Ahrensburg 
Königstraße 11
22926 Ahrensburg";verwaltung@ag-ahrensburg.landsh.de;http://www.ag-ahrensburg.schleswig-holstein.de;(04102)5190;(04102)519199
Amtsgericht Aichach ;"Amtsgericht Aichach 
Postfach 13 60
86544 Aichach";"Amtsgericht Aichach 
Schloßplatz 9
86551 Aichach";Poststelle@ag-aic.bayern.de;;(08251)8940;(08251)894199
Amtsgericht Albstadt ;"Amtsgericht Albstadt 
Postfach 1
72421 Albstadt";"Amtsgericht Albstadt 
Gartenstraße 17
72458 Albstadt";Poststelle@agalbstadt.justiz.bwl.de;;(07431) 9230;(07431) 923200
Amtsgericht Alfeld (Leine) ;"Amtsgericht Alfeld (Leine) 
Postfach 11 61
31041 Alfeld (Leine)";"Amtsgericht Alfeld (Leine) 
Kalandstraße 1
31061 Alfeld (Leine)";agalf-poststelle@justiz.niedersachsen.de;;(05181)8040;(05181)24313
